id_movie,id_production_companies,name_production_companies,revenue
15730,7320,Telefilm Canada,0
15730,7828,Max Films Productions,0
15730,11578,Super Écran,0
15730,35859,Société Générale des Industries Culturelles du Québec (SOGIC),0
47608,9195,Touchstone Pictures,15453274
2293,33,Universal Pictures,2122561
2293,37,Gramercy Pictures,2122561
2293,11462,Alphaville Films,2122561
2293,16934,View Askew Productions,2122561
9070,306,Twentieth Century Fox Film Corporation,66000000
9070,2106,Saban Entertainment,66000000
9070,9255,Toei Company,66000000
68274,1382,PolyGram Filmed Entertainment,0
68274,10163,Working Title Films,0
48787,16561,Comet Film Produktion GmbH,1
48787,38959,Avrora Media,1
48787,38960,Cobblestone Pictures,1
34574,37897,Kino Link Company,0
1642,5,Columbia Pictures,110627965
11472,306,Twentieth Century Fox Film Corporation,69660733
11472,436,1492 Pictures,69660733
36196,37890,Party Productions,472370
11980,7405,Dimension Films,16
58372,2492,Playhouse International Pictures,0
58372,3906,American Playhouse,0
58372,28205,"Samuel Goldwyn Company, The",0
32646,1422,Killer Films,0
32646,3906,American Playhouse,0
32646,38692,Kardana Films,0
32646,39861,Chemical Films,0
10533,915,Hollywood Pictures,10382407
10533,1504,Cinergi Pictures Entertainment,10382407
10802,60,United Artists,20350754
10802,183,Le Studio Canal+,20350754
10802,14723,Carolco Pictures,20350754
10149,14,Miramax Films,8349430
18402,705,Spring Creek Productions,50892160
18402,6194,Warner Bros.,50892160
18402,16368,Hawn / Sylbert Movie Company,50892160
9348,8411,Metro-Goldwyn-Mayer (MGM),113374103
139408,171,Malpaso Productions,0
139408,3864,Butcher's Run Films,0
139408,6194,Warner Bros.,0
281,574,Lightstorm Entertainment,7959291
5967,1080,Beta Film,0
5967,1147,Madeleine Films,0
5967,14680,Parc Film,0
79593,915,Hollywood Pictures,5780000
79593,1382,PolyGram Filmed Entertainment,5780000
79593,10201,Interscope Communications,5780000
47939,11308,Savoy Pictures,7025496
36834,6849,Société Française de Production (SFP),339889
36834,16026,FIT Productions,339889
36834,16027,Portman Productions,339889
9090,33,Universal Pictures,47774193
9090,56,Amblin Entertainment,47774193
3512,508,Regency Enterprises,104324083
3512,6194,Warner Bros.,104324083
3512,17825,Seagal/Nasso Productions,104324083
3512,21480,Victor Company of Japan (JVC),104324083
3512,63906,Cutting Edge Films,104324083
52856,915,Hollywood Pictures,0
9560,306,Twentieth Century Fox Film Corporation,50012507
9560,2851,Zucker Brothers Productions,50012507
9804,33,Universal Pictures,264218220
9804,1073,Gordon Company,264218220
9804,1302,Davis Entertainment,264218220
9804,6092,Licht/Mueller Film Corporation,264218220
31611,6068,HBO,0
31611,6911,A BandApart,0
31611,11661,Rysher Entertainment,0
65796,60,United Artists,0
49805,4,Paramount Pictures,0
26258,306,Twentieth Century Fox Film Corporation,0
50797,5358,Canal+,2616503
50797,6453,Studio Trite,2616503
50797,6454,Caméra One,2616503
19155,6367,PolyGram Audiovisuel,763847
19155,12745,British Screen Productions,763847
76,98,Detour Film Production,5535405
76,6194,Warner Bros.,5535405
11017,6365,Jack Giarraputo Productions,26488734
37141,18189,Spelling Films International,0
9382,508,Regency Enterprises,23450000
9382,644,Alcor Films,23450000
9382,5358,Canal+,23450000
9382,10104,New Regency Pictures,23450000
9382,16192,Hera Productions,23450000
6715,33,Universal Pictures,0
6715,1595,Island World,0
18256,4867,Full Moon Entertainment,0
22625,364,The Rank Organisation,0
22625,1898,Bórd Scannán na hÉireann,0
22625,4127,Lantana,0
22625,23808,Price Entertainment,0
2292,14,Miramax Films,3151130
2292,16934,View Askew Productions,3151130
1909,12,New Line Cinema,22200000
1909,70,American Zoetrope,22200000
8984,6194,Warner Bros.,214015089
8984,11407,Baltimore Pictures,214015089
61813,15709,Keystone Pictures,0
61813,52095,Dream Man Productions Inc,0
4954,4,Paramount Pictures,0
62488,11308,Savoy Pictures,0
62488,11661,Rysher Entertainment,0
10531,8,Fine Line Features,0
10531,181,Channel Four Films,0
10531,826,Capitol Films,0
10531,3823,TF1 Films Production,0
10531,5358,Canal+,0
10531,8277,Flach Film,0
10531,68141,Les Films de l'Astre,0
11929,97,Castle Rock Entertainment,0
11929,441,Columbia Pictures Corporation,0
8467,12,New Line Cinema,247275374
8467,11061,Motion Picture Corporation of America (MPCA),247275374
10451,5528,Ang Lee Productions,7294403
10451,10565,Good Machine,7294403
10451,25345,Central Motion Pictures,7294403
20156,14,Miramax Films,0
20156,10166,Alliance Entertainment,0
20156,12800,Ego Film Arts,0
18395,11308,Savoy Pictures,6841570
522,9195,Touchstone Pictures,5887457
397,306,Twentieth Century Fox Film Corporation,0
397,1382,PolyGram Filmed Entertainment,0
397,10163,Working Title Films,0
397,34207,Prufrock Pictures,0
10525,5,Columbia Pictures,0
10525,97,Castle Rock Entertainment,0
27985,306,Twentieth Century Fox Film Corporation,0
15789,2,Walt Disney Pictures,35348597
27303,559,TriStar Pictures,12201255
21183,21,Metro-Goldwyn-Mayer,0
10954,1429,Italian International Film,0
10954,2359,Stéphan Films,0
10954,37581,MG,0
72031,14,Miramax Films,0
14275,8,Fine Line Features,7830611
14275,13042,Kartemquin Films,7830611
1024,11,WingNut Films,3049135
1024,14,Miramax Films,3049135
1024,294,New Zealand Film Commission,3049135
1024,2306,Fontana Productions,3049135
17207,175,Caravan Pictures,26325256
17207,915,Hollywood Pictures,26325256
13701,5,Columbia Pictures,0
13701,2630,Majestic Films International,0
13701,4564,Icon Entertainment International,0
14819,2,Walt Disney Pictures,17689177
14819,175,Caravan Pictures,17689177
32631,33,Universal Pictures,0
32631,11393,Bregman/Baer Productions,0
11777,4,Paramount Pictures,0
628,360,Geffen Pictures,223664608
87729,2370,Merchant Ivory Productions,2474000
87729,9195,Touchstone Pictures,2474000
18713,175,Caravan Pictures,0
18713,9195,Touchstone Pictures,0
6280,33,Universal Pictures,37000000
6280,8816,Northern Lights Entertainment,37000000
9061,414,Fountainbridge Films,0
9061,6194,Warner Bros.,0
9061,36854,Lee Rich Productions,0
37108,2,Walt Disney Pictures,0
37108,4063,Trimark Pictures,0
6071,306,Twentieth Century Fox Film Corporation,0
11,1,Lucasfilm,775398007
11,306,Twentieth Century Fox Film Corporation,775398007
9587,5,Columbia Pictures,0
19101,6194,Warner Bros.,0
49980,181,Channel Four Films,0
49980,983,Parallax Pictures,0
17961,9209,MK2 Productions,0
18183,84803,Aviacsa,21665468
18183,84804,Cinevista,21665468
4476,348,Bedford Falls Productions,160638883
4476,559,TriStar Pictures,160638883
4476,1656,Pangaea,160638883
11008,33,Universal Pictures,0
47504,8,Fine Line Features,0
47504,12,New Line Cinema,0
47504,285,Live Entertainment,0
32325,181,Channel Four Films,0
32325,2832,Cineville,0
32325,3268,Home Box Office (HBO),0
32325,36836,Showcase Entertaiment Inc.,0
43742,6194,Warner Bros.,0
28313,4,Paramount Pictures,7603766
11318,181,Channel Four Films,0
11318,798,Samuel Goldwyn Company,0
11318,23022,Close Call Films,0
3036,70,American Zoetrope,112006296
3036,559,TriStar Pictures,112006296
40490,2,Walt Disney Pictures,0
24070,559,TriStar Pictures,0
8986,4,Paramount Pictures,18137661
8986,862,The Kennedy/Marshall Company,18137661
10510,306,Twentieth Century Fox Film Corporation,46264384
17402,915,Hollywood Pictures,5
38722,70,American Zoetrope,0
38722,3906,American Playhouse,0
38722,20928,Majestic Films International,0
38722,89873,Newcomb Productions,0
8438,2428,Wolper Organization,17381942
8438,6194,Warner Bros.,17381942
11593,4,Paramount Pictures,0
11593,594,Capella International,0
11593,761,Cinehaus,0
1945,306,Twentieth Century Fox Film Corporation,106683817
1945,802,Egg Pictures,106683817
1945,1382,PolyGram Filmed Entertainment,106683817
39310,4319,40 Acres & A Mule Filmworks,0
109560,7260,TOEI,0
109560,42935,Distant Justice Joint Venture,0
56428,11139,Metrodome Films,0
63105,7954,Filmwerks,0
63105,21437,Imperial Entertainment,0
131957,23098,Triumph Films,0
241,508,Regency Enterprises,50282766
241,644,Alcor Films,50282766
241,4198,Ixtlan,50282766
241,6194,Warner Bros.,50282766
241,10104,New Regency Pictures,50282766
241,68551,J D Productions,50282766
9058,559,TriStar Pictures,0
527,293,Avalon Studios,2201126
527,294,New Zealand Film Commission,2201126
527,295,New Zealand On Air,2201126
18220,12,New Line Cinema,0
18220,17067,CineTel Pictures,0
18220,17068,MG Entertainment,0
6950,824,Kopelson Entertainment,189859560
6950,2154,Punch Productions,189859560
6950,6194,Warner Bros.,189859560
6950,16775,Arnold Kopelson Productions,189859560
101,5,Columbia Pictures,45284974
101,9,Gaumont,45284974
63020,28205,"Samuel Goldwyn Company, The",2832826
2307,915,Hollywood Pictures,0
680,14,Miramax Films,213928762
680,59,A Band Apart,213928762
680,216,Jersey Films,213928762
41478,31080,Polygram Filmed Entertainment,6834525
41478,31715,Gramercy Pictures (I),6834525
41478,37580,MVP Films,6834525
25296,5528,Ang Lee Productions,152322
40156,288,BBC Films,4176932
40156,1382,PolyGram Filmed Entertainment,4176932
40156,53009,Miramax,4176932
11450,316,Wildwood Enterprises,0
11450,915,Hollywood Pictures,0
11450,11407,Baltimore Pictures,0
30304,84839,Cecile Company,0
30304,84840,Thousand Cranes Filmworks,0
10452,82,Renn Productions,0
10452,850,Eurimages,0
10452,5358,Canal+,0
10452,6187,ARD/Degeto Film GmbH,0
10452,6541,D.A. Films,0
10452,7089,France2 Cinéma,0
10452,8923,WMG Film,0
10452,18367,Centre National de la Cinématographie (CNC),0
10452,18495,N.E.F. Filmproduktion und Vertriebs GmbH,0
10452,53009,Miramax,0
10452,75913,RCS Films & TV,0
12106,559,TriStar Pictures,18552460
161495,915,Hollywood Pictures,12400000
161495,10201,Interscope Communications,12400000
161495,12883,Nomura Babcock & Brown,12400000
3586,14,Miramax Films,11300653
110,38,Zespół Filmowy TOR,0
110,183,Le Studio Canal+,0
110,591,France 3 Cinéma,0
110,1245,Télévision Suisse-Romande,0
108,591,France 3 Cinéma,0
108,1610,CED Productions,0
109,183,Le Studio Canal+,0
109,591,France 3 Cinéma,0
109,850,Eurimages,0
92769,4899,Allegro Films,0
92769,16953,Norstar Entertainment,0
92769,24946,west wind entertainment,0
28033,4,Paramount Pictures,0
22586,4108,Rich Animation Studios,9771658
14334,29272,Jones Entertainment Group,0
14334,29273,Skerry Productions,0
2636,2596,Jerry Weintraub Productions,170362582
2636,6194,Warner Bros.,170362582
2636,11134,Iguana Producciones,170362582
2164,347,Centropolis Entertainment,196567262
2164,694,StudioCanal,196567262
2164,10320,Carolco Entertainment,196567262
11395,2,Walt Disney Pictures,189833357
11395,915,Hollywood Pictures,189833357
278,97,Castle Rock Entertainment,28341469
278,6194,Warner Bros.,28341469
9905,181,Channel Four Films,0
9905,359,Figment Films,0
9905,980,The Glasgow Film Fund,0
9905,1382,PolyGram Filmed Entertainment,0
87078,78701,Kino Korsakoff,102780
12527,14,Miramax Films,0
12527,6647,Tabasco films,0
12527,8861,Instituto Mexicano de Cinematografía (IMCINE),0
12527,10015,TeleMadrid,0
20306,2832,Cineville,0
20306,4063,Trimark Pictures,0
36614,798,Samuel Goldwyn Company,0
27993,12,New Line Cinema,0
27993,4733,1992 Number Four Limited Partnership,0
27993,4734,MHA,0
31439,1078,Shanghai Film Studios,0
31439,25299,Era International Ltd,0
9067,2231,Trilogy Entertainment Group,4064495
9059,33,Universal Pictures,0
9059,69626,Tales From The Crypt Holdings,0
193,4,Paramount Pictures,120000000
25066,4319,40 Acres & A Mule Filmworks,12000000
25066,11308,Savoy Pictures,12000000
12122,33,Universal Pictures,0
11381,4,Paramount Pictures,32648673
32636,58,Sony Pictures Classics,0
36141,14729,Populist Pictures,0
95963,11308,Savoy Pictures,0
95963,23808,Price Entertainment,0
95963,37350,"Jackson/McHenry Company,The",0
1587,4,Paramount Pictures,10032765
9271,4,Paramount Pictures,24048000
2064,175,Caravan Pictures,182057016
2064,915,Hollywood Pictures,182057016
19855,33,Universal Pictures,0
60855,8,Fine Line Features,759393
60855,806,Téléfilm Canada,759393
60855,4908,First Generation Films,759393
60855,17027,National Film Board of Canada (NFB),759393
60855,36024,British Columbia Film Commission,759393
236,105,Ciby 2000,15119639
236,11840,Film Victoria,15119639
236,39250,House & Moorhouse Films,15119639
48287,441,Columbia Pictures Corporation,0
48287,10157,Beacon Pictures,0
3049,6194,Warner Bros.,107217396
3049,10210,Morgan Creek Productions,107217396
2759,1382,PolyGram Filmed Entertainment,11220670
12635,37,Gramercy Pictures,0
10497,8,Fine Line Features,1862805
10497,355,R.P. Productions,1862805
10497,441,Columbia Pictures Corporation,1862805
10497,635,Les Films Alain Sarde,1862805
10497,5358,Canal+,1862805
