id_movie,name_collection,revenue
39282,Fanny Brice Collection,0
993,Sleuth Collection,0
11979,The Vampire Chronicles,45479110
25006,State Property Collection,2106838
23479,The Bad New Bears Collection,35323292
66946,The Bad New Bears Collection,0
19050,The Bad New Bears Collection,19104350
108266,The Lone Ranger (Clayton Moore) Collection,0
108267,The Lone Ranger (Clayton Moore) Collection,0
15999,Vampire Hunter D Collection,0
13225,Ferngully Collection,32710894
7219,Zombi Collection,0
26200,Get Smart Collection,0
38147,"Oh, God! Collection",0
24032,"Oh, God! Collection",41687243
425,Ice Age Collection,383257136
1576,Resident Evil Collection,102984862
17804,The Paleface Collection,0
31805,Road To Collection,0
13861,Road To Collection,0
29021,Road To Collection,0
31812,Road To Collection,0
28213,Tales Of The Four Seasons,0
12705,Smokey And The Bandit Collection,66132626
11006,Smokey And The Bandit Collection,126737428
15120,Smokey And The Bandit Collection,5678950
16026,Sällskapsresorna,5010362
36586,Blade Collection,155010032
11452,National Lampoon’S Van Wilder Collection,38275483
11590,Slap Shot Collection,28000000
8346,My Big Fat Greek Wedding Collection,368744044
307,War Trilogy,0
15482,Killer Tomatoes! Collection,0
45878,Horror High Collection,0
12154,3 Men Collection,0
11630,3 Men Collection,0
